,app_num,1,pub_num
102,12667576,292229,8087196
103,11966013,292546,8087197
104,12436867,292734,8087198
105,12550720,293068,8087199
106,12802939,293469,8087200
107,12471068,294595,8087201
108,12584455,295009,8087202
109,12565003,295401,8087203
110,12169298,295827,8087204
111,12196115,296145,8087205
112,12577135,297829,8087206
113,11201861,298251,8087207
114,12241772,298770,8087208
115,12693349,299125,8087209
116,11631510,299521,8087210
117,10593236,299833,8087211
118,13004219,300228,8087212
119,12258839,300677,8087213
120,11893252,301034,8087214
121,12227173,301620,8087215
122,12712484,302148,8087216
123,12521182,302633,8087217
124,12022423,302984,8087218
125,12469829,303945,8087219
126,12427654,304617,8087220
127,12872002,305033,8087221
128,12190047,305586,8087222
129,12868985,305853,8087223
130,12883597,306369,8087224
131,12028892,306716,8087225
132,12336947,307244,8087226
133,12772139,307529,8087227
134,12208906,307811,8087228
135,11970231,308170,8087229
136,12103270,308781,8087230
137,12068493,309183,8087231
138,12083626,309525,8087232
139,12311969,310033,8087233
140,12448273,310465,8087234
141,11578184,310823,8087235
142,11992756,311732,8087236
143,12235794,312088,8087237
144,10572194,312402,8087238
145,12153353,312982,8087239
146,12084326,313469,8087240
147,12868720,313785,8087241
148,12768490,315434,8087242
149,12469849,315710,8087243
150,12064649,316001,8087244
151,11729336,316528,8087245
152,12304744,316839,8087246
153,12291148,317263,8087247
154,12246360,317447,8087248
155,12343019,319390,8087249
156,12146510,319785,8087250
157,13045098,320629,8087251
158,12016469,321041,8087252
159,12274568,321314,8087253
160,11815911,321689,8087254
161,12295963,322288,8087255
162,12284448,322786,8087256
163,11618334,323303,8087257
164,11990736,323669,8087258
165,11661827,324341,8087259
166,12376365,324875,8087260
167,10574656,325342,8087261
168,12313200,325933,8087262
169,12805294,326353,8087263
170,11545447,326808,8087264
171,11647083,327188,8087265
172,11629663,327666,8087266
173,12563801,328304,8087267
174,12407138,332239,8087268
175,12467803,332574,8087269
176,12477979,333286,8087270
177,12148904,333816,8087271
178,11986933,334266,8087272
179,12560932,334884,8087273
180,12759668,335247,8087274
181,12870599,335535,8087275
182,13195451,335795,8087276
183,11991259,336023,8087277
184,12291008,336527,8087278
185,12053708,336764,8087279
186,12361733,337156,8087280
187,12186561,337626,8087281
188,12222267,338065,8087282
189,12140822,338348,8087283
190,12087495,338796,8087284
191,12474719,339075,8087285
192,11996819,339312,8087286
193,12268666,339978,8087287
194,08871029,340354,8087288
195,12172640,340681,8087289
196,11904763,340826,8087290
197,12419402,341142,8087291
198,12112644,341409,8087292
199,10556999,341705,8087293
200,12313536,342462,8087294
201,12282006,342797,8087295
202,12162417,343153,8087296
203,12336622,343663,8087297
204,12401321,344548,8087298
205,12820142,344976,8087299
206,12440157,345156,8087300
207,11859816,345662,8087301
208,11624961,346150,8087302
209,12549778,346369,8087303
210,12403992,347422,8087304
211,12466520,347982,8087305
212,12517993,348236,8087306
213,12368347,348957,8087307
214,12368351,349282,8087308
215,12471095,349605,8087309
