,app_num,1,pgpub_num
240,15187828,52124,20170000241
241,14844794,52268,20170000242
242,15197295,52411,20170000243
243,15201051,52530,20170000244
244,14790029,52674,20170000245
245,14791243,52784,20170000246
246,15201314,52894,20170000247
247,15194068,53081,20170000248
248,15214289,53275,20170000249
249,14790980,53469,20170000250
250,15264263,53579,20170000251
251,15106394,53922,20170000252
252,15104712,54422,20170000253
253,15200180,54653,20170000254
254,14788487,54876,20170000255
255,15265150,55024,20170000256
256,15265399,55263,20170000257
257,15269559,55530,20170000258
258,15114327,55679,20170000259
259,15265737,55939,20170000260
260,15199493,56200,20170000261
261,15195097,56445,20170000262
262,14808321,56605,20170000263
263,15177756,56765,20170000264
264,15268934,56931,20170000265
265,15196949,57131,20170000266
266,14755459,57294,20170000267
267,14882467,57403,20170000268
268,15200075,57518,20170000269
269,15195168,57648,20170000270
270,14755351,57816,20170000271
271,14755117,58001,20170000272
272,15201900,58093,20170000273
273,15039876,58227,20170000274
274,15201406,58455,20170000275
275,15268175,58764,20170000276
276,14788314,58987,20170000277
277,15268887,59133,20170000278
278,15125872,59300,20170000279
279,14902982,59450,20170000280
280,15268428,59719,20170000281
281,15114867,59914,20170000282
282,15179464,60077,20170000283
283,15226300,60258,20170000284
284,14914022,60478,20170000285
285,15265438,60644,20170000286
286,15106420,60796,20170000287
287,15106395,60932,20170000288
288,15144339,61100,20170000289
289,15107228,61264,20170000290
290,15267629,61412,20170000291
291,15200621,61851,20170000292
292,15125619,62052,20170000293
293,15201636,62168,20170000294
294,14791342,62292,20170000295
295,14754920,62605,20170000296
296,15266849,62758,20170000297
297,15174695,63083,20170000298
298,15269145,63286,20170000299
299,15194581,63488,20170000300
300,14902479,63639,20170000301
301,14789997,63808,20170000302
302,15103936,63961,20170000303
303,15108139,64239,20170000304
304,15196412,64512,20170000305
305,15198389,64909,20170000306
306,15171341,65258,20170000307
307,14755345,65564,20170000308
308,14999579,65943,20170000309
309,15039858,66036,20170000310
310,15268552,66273,20170000311
311,15266471,66534,20170000312
312,15265188,66710,20170000313
313,15268563,66918,20170000314
314,15172127,67214,20170000315
315,15269391,67482,20170000316
316,15266291,67733,20170000317
317,15268546,68029,20170000318
318,15265025,68245,20170000319
319,14789446,68451,20170000320
320,15268947,68706,20170000321
321,14999816,69012,20170000322
322,15266725,69311,20170000323
323,15269351,69542,20170000324
324,15269413,69838,20170000325
325,15269455,70119,20170000326
326,15104491,70385,20170000327
327,15105173,70650,20170000328
328,15269292,70843,20170000329
329,15269521,71229,20170000330
330,15269377,71495,20170000331
331,15269335,71731,20170000332
332,15269580,72057,20170000333
333,15269374,72353,20170000334
334,15269561,72619,20170000335
335,15105104,72885,20170000336
336,15269631,73093,20170000337
337,15125766,73344,20170000338
338,15115370,73546,20170000339
339,15269609,73815,20170000340
340,15269266,74216,20170000341
341,15269557,74527,20170000342
342,15269565,74883,20170000343
343,15079378,75134,20170000344
344,15269376,75358,20170000345
345,14755243,75639,20170000346
346,15104801,75838,20170000347
347,15059573,76198,20170000348
348,15125667,76439,20170000349
349,15013385,76864,20170000350
350,14931465,77040,20170000351
351,14903298,77294,20170000352
352,15115348,77587,20170000353
353,15269286,77950,20170000354
354,15200950,78394,20170000355
355,14789750,78688,20170000356
356,15100234,78947,20170000357
357,15200293,79230,20170000358
358,15268556,79473,20170000359
359,15100243,79906,20170000360
360,15184454,80156,20170000361
361,15267638,80491,20170000362
362,15163938,80738,20170000363
363,15269396,81073,20170000364
364,14788627,81487,20170000365
365,15039975,81651,20170000366
366,15266977,81837,20170000367
367,15197778,82217,20170000368
368,14791318,82445,20170000369
369,14791323,82655,20170000370
370,15267042,82835,20170000371
371,15266767,83189,20170000372
372,14790791,83588,20170000373
373,15102545,83738,20170000374
374,14788882,83946,20170000375
375,15120812,84140,20170000376
376,15125676,84558,20170000377
377,15193709,84944,20170000378
378,14930516,85285,20170000379
379,15102566,85561,20170000380
380,15125986,85881,20170000381
381,15267108,86079,20170000382
382,14755807,86343,20170000383
383,15114095,86565,20170000384
384,15038728,86810,20170000385
385,15201359,87068,20170000386
386,15197388,87557,20170000387
387,15113605,87819,20170000388
388,15199087,88134,20170000389
389,14790182,88416,20170000390
390,15200998,88708,20170000391
391,14789732,88994,20170000392
392,15118622,89223,20170000393
393,15195199,89438,20170000394
394,15194098,89747,20170000395
395,13958404,89919,20170000396
396,15039907,90126,20170000397
397,15100050,90446,20170000398
398,15197108,90649,20170000399
399,15113757,90873,20170000400
400,15039900,91071,20170000401
401,15105071,91349,20170000402
